HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Albion Rvs,Ayr,A,1,5,13,15,3,9,10,4,4,1,0,0,5.25,4.0,1.6,1.78,1.95
Alloa,Raith Rvs,D,1,1,7,16,4,12,5,6,3,1,0,0,2.6,3.3,2.63,1.82,1.9
Arbroath,Queens Park,H,2,0,20,5,6,2,7,2,0,2,0,0,2.15,3.4,3.3,1.92,1.81
Forfar,Airdrie Utd,H,2,1,18,8,7,1,9,4,0,1,0,0,2.5,3.4,2.7,1.64,2.15
Stranraer,East Fife,H,1,0,18,9,6,1,6,6,2,1,0,0,2.15,3.4,3.25,1.88,1.85
Airdrie Utd,Arbroath,D,1,1,10,20,2,11,3,6,1,0,0,0,2.5,3.5,2.63,1.7,2.05
Ayr,Forfar,H,3,0,16,12,8,5,8,5,0,1,0,0,1.62,4.0,5.0,1.58,2.25
East Fife,Alloa,H,1,0,7,7,3,2,3,5,0,0,0,0,2.75,3.4,2.45,1.84,1.89
Queens Park,Albion Rvs,A,2,5,9,13,3,9,4,6,2,1,0,0,2.0,3.5,3.6,2.01,1.74
Raith Rvs,Stranraer,H,3,0,20,9,11,2,6,6,2,3,0,0,1.57,4.0,5.5,1.8,1.93
Albion Rvs,Airdrie Utd,A,1,2,8,9,2,4,8,0,1,1,0,0,2.15,3.5,3.2,1.56,2.29
Alloa,Queens Park,H,1,0,10,9,7,2,2,6,2,2,0,0,1.7,4.0,4.5,1.65,2.13
Arbroath,East Fife,A,2,3,17,12,9,6,7,5,2,3,0,0,2.1,3.6,3.25,1.72,2.04
Raith Rvs,Forfar,H,3,1,23,7,13,2,13,3,0,3,0,1,1.53,4.2,5.75,1.54,2.36
Stranraer,Ayr,A,3,4,7,15,4,6,3,4,3,0,0,0,3.4,3.75,2.0,1.66,2.12
Airdrie Utd,Alloa,H,2,0,16,10,6,3,10,4,1,3,0,0,3.3,3.8,2.0,1.63,2.17
Ayr,Arbroath,A,1,2,7,11,5,6,8,10,1,1,0,0,1.6,4.0,5.25,1.57,2.28
East Fife,Raith Rvs,A,0,5,6,14,0,7,6,6,1,1,0,0,4.33,3.8,1.75,1.83,1.9
Forfar,Albion Rvs,A,0,2,7,7,3,3,7,10,2,2,1,0,2.15,3.6,3.1,1.67,2.11
Queens Park,Stranraer,D,2,2,7,8,2,4,5,5,3,2,0,0,2.38,3.6,2.75,1.87,1.87
Alloa,Forfar,H,2,1,7,6,4,3,5,3,3,0,0,0,1.67,4.0,4.6,1.6,2.23
Arbroath,Albion Rvs,A,1,4,19,9,6,6,5,4,2,2,0,0,1.91,3.6,3.75,1.61,2.21
East Fife,Queens Park,A,0,1,13,7,4,3,7,3,2,3,0,0,2.05,3.7,3.3,1.8,1.93
Raith Rvs,Ayr,H,2,1,10,18,4,8,5,7,2,2,0,1,1.67,3.8,5.0,1.64,2.15
Stranraer,Airdrie Utd,H,3,1,17,6,10,3,3,3,2,3,1,0,2.0,3.75,3.4,1.67,2.1
Airdrie Utd,East Fife,A,0,1,8,14,1,4,2,8,1,3,1,0,2.3,3.5,2.9,1.7,2.06
Albion Rvs,Stranraer,A,0,4,7,8,2,5,4,4,2,1,1,0,2.4,3.5,2.75,1.71,2.04
Ayr,Alloa,D,3,3,18,10,8,5,6,6,1,2,0,0,1.83,3.5,4.2,1.65,2.14
Forfar,Arbroath,A,0,5,7,15,2,11,1,10,3,1,0,0,2.88,3.4,2.38,1.52,2.39
Queens Park,Raith Rvs,A,0,5,10,10,2,6,6,3,1,1,0,0,5.5,4.2,1.55,1.55,2.32
Alloa,Albion Rvs,A,2,5,15,8,5,6,6,1,0,0,0,0,1.75,3.75,4.33,1.67,2.09
East Fife,Forfar,H,3,0,13,4,7,1,4,3,0,2,0,1,1.95,3.6,3.6,1.65,2.13
Queens Park,Ayr,A,0,2,13,9,6,5,8,6,2,3,0,0,5.0,3.6,1.67,1.72,2.03
Raith Rvs,Airdrie Utd,H,2,0,14,13,5,4,9,2,3,0,0,0,1.4,4.75,7.0,1.52,2.39
Stranraer,Arbroath,A,2,6,10,17,6,7,5,2,2,0,0,0,2.25,3.5,3.0,1.67,2.1
Airdrie Utd,Queens Park,H,4,2,10,7,7,6,5,5,1,4,0,0,2.0,3.6,3.2,1.67,2.09
Albion Rvs,Raith Rvs,H,2,1,8,12,6,6,8,11,4,0,0,0,5.5,3.8,1.55,1.6,2.22
Arbroath,Alloa,D,1,1,13,10,7,4,7,5,1,1,0,0,1.8,3.5,4.0,1.61,2.21
Ayr,East Fife,H,3,0,20,7,9,1,9,1,2,0,0,1,1.57,3.8,5.0,1.58,2.25
